,DTM1,HOSP_TYPE,HOSP_SHORT,WFB,OCC,BASE,File_Name
114,2019-11-01 07:30:00,METRO,RAH,37.0,544.0,559.0,Amb_Dashboard_2019.11.01_07.55
115,2019-11-01 07:30:00,METRO,WCHP,5.0,77.0,92.0,Amb_Dashboard_2019.11.01_07.55
116,2019-11-01 07:30:00,METRO,NHS,0.0,37.0,51.0,Amb_Dashboard_2019.11.01_07.55
117,2019-11-01 07:30:00,METRO,MH,0.0,33.0,36.0,Amb_Dashboard_2019.11.01_07.55
118,2019-11-01 07:30:00,METRO,TQEH,11.0,233.0,278.0,Amb_Dashboard_2019.11.01_07.55
119,2019-11-01 08:00:00,METRO,TQEH,12.0,238.0,278.0,Amb_Dashboard_2019.11.01_08.25
120,2019-11-01 08:00:00,METRO,WCHP,5.0,84.0,92.0,Amb_Dashboard_2019.11.01_08.25
121,2019-11-01 08:00:00,METRO,LMH,4.0,253.0,194.0,Amb_Dashboard_2019.11.01_08.25
122,2019-11-01 08:00:00,METRO,FMC,10.0,375.0,390.0,Amb_Dashboard_2019.11.01_08.25
123,2019-11-01 08:00:00,METRO,MH,0.0,34.0,36.0,Amb_Dashboard_2019.11.01_08.25
124,2019-11-01 08:00:00,METRO,RAH,39.0,545.0,559.0,Amb_Dashboard_2019.11.01_08.25
125,2019-11-01 08:00:00,METRO,NHS,0.0,39.0,51.0,Amb_Dashboard_2019.11.01_08.25
126,2019-11-01 08:30:00,METRO,WCHP,4.0,86.0,92.0,Amb_Dashboard_2019.11.01_08.55
127,2019-11-01 08:30:00,METRO,MH,0.0,34.0,36.0,Amb_Dashboard_2019.11.01_08.55
128,2019-11-01 08:30:00,METRO,TQEH,10.0,246.0,278.0,Amb_Dashboard_2019.11.01_08.55
129,2019-11-01 08:30:00,METRO,RAH,40.0,546.0,559.0,Amb_Dashboard_2019.11.01_08.55
130,2019-11-01 08:30:00,METRO,FMC,11.0,376.0,390.0,Amb_Dashboard_2019.11.01_08.55
131,2019-11-01 08:30:00,METRO,NHS,0.0,41.0,51.0,Amb_Dashboard_2019.11.01_08.55
132,2019-11-01 08:30:00,METRO,LMH,5.0,252.0,194.0,Amb_Dashboard_2019.11.01_08.55
133,2019-11-01 09:00:00,METRO,TQEH,12.0,247.0,278.0,Amb_Dashboard_2019.11.01_09.25
134,2019-11-01 09:00:00,METRO,LMH,5.0,253.0,194.0,Amb_Dashboard_2019.11.01_09.25
135,2019-11-01 09:00:00,METRO,MH,0.0,35.0,36.0,Amb_Dashboard_2019.11.01_09.25
136,2019-11-01 09:00:00,METRO,FMC,12.0,375.0,390.0,Amb_Dashboard_2019.11.01_09.25
137,2019-11-01 09:00:00,METRO,RAH,45.0,541.0,559.0,Amb_Dashboard_2019.11.01_09.25
138,2019-11-01 09:00:00,METRO,NHS,0.0,42.0,51.0,Amb_Dashboard_2019.11.01_09.25
139,2019-11-01 09:00:00,METRO,WCHP,4.0,89.0,92.0,Amb_Dashboard_2019.11.01_09.25
140,2019-11-01 09:30:00,METRO,MH,0.0,35.0,36.0,Amb_Dashboard_2019.11.01_09.55
141,2019-11-01 09:30:00,METRO,RAH,41.0,542.0,559.0,Amb_Dashboard_2019.11.01_09.55
142,2019-11-01 09:30:00,METRO,FMC,12.0,368.0,390.0,Amb_Dashboard_2019.11.01_09.55
143,2019-11-01 09:30:00,METRO,TQEH,14.0,246.0,278.0,Amb_Dashboard_2019.11.01_09.55
144,2019-11-01 09:30:00,METRO,LMH,5.0,254.0,194.0,Amb_Dashboard_2019.11.01_09.55
145,2019-11-01 09:30:00,METRO,WCHP,4.0,90.0,92.0,Amb_Dashboard_2019.11.01_09.55
146,2019-11-01 09:30:00,METRO,NHS,0.0,42.0,51.0,Amb_Dashboard_2019.11.01_09.55
147,2019-11-01 10:00:00,METRO,TQEH,12.0,248.0,278.0,Amb_Dashboard_2019.11.01_10.25
148,2019-11-01 10:00:00,METRO,NHS,0.0,43.0,51.0,Amb_Dashboard_2019.11.01_10.25
149,2019-11-01 10:00:00,METRO,WCHP,3.0,87.0,92.0,Amb_Dashboard_2019.11.01_10.25
150,2019-11-01 10:00:00,METRO,FMC,12.0,367.0,390.0,Amb_Dashboard_2019.11.01_10.25
151,2019-11-01 10:00:00,METRO,RAH,38.0,537.0,559.0,Amb_Dashboard_2019.11.01_10.25
152,2019-11-01 10:00:00,METRO,MH,0.0,34.0,36.0,Amb_Dashboard_2019.11.01_10.25
153,2019-11-01 10:00:00,METRO,LMH,4.0,257.0,194.0,Amb_Dashboard_2019.11.01_10.25
154,2019-11-01 10:30:00,METRO,FMC,10.0,369.0,390.0,Amb_Dashboard_2019.11.01_10.55
155,2019-11-01 10:30:00,METRO,WCHP,3.0,87.0,92.0,Amb_Dashboard_2019.11.01_10.55
156,2019-11-01 10:30:00,METRO,TQEH,10.0,244.0,278.0,Amb_Dashboard_2019.11.01_10.55
157,2019-11-01 10:30:00,METRO,RAH,33.0,534.0,559.0,Amb_Dashboard_2019.11.01_10.55
